player_id,name_short,name_long,position,nationality,name_ko_long,name_ko_short
625,P. Sandler,Philippe Sandler,Defender,Netherlands,필리프 산들러,P. 산들러
2068,M. Safonov,Matvey Safonov,Goalkeeper,Russia,마트베이 사포노프,M. 사포노프
483,Kh. Kvaratskhelia,Khvicha Kvaratskhelia,Attacker,Georgia,흐비차 크바라츠헬리아,Kh. 크바라츠헬리아
186,Son H.M.,Son Heung-Min,Attacker,Korea Republic,손흥민,손흥민
9026,N. Vasilj,Nikola Vasilj,Goalkeeper,Bosnia and Herzegovina,니콜라 바실,N. 바실
7318,A. Dedić,Amar Dedić,Defender,Bosnia and Herzegovina,아마르 데디치,A. 데디치
1741,N. Katić,Nikola Katić,Defender,Bosnia and Herzegovina,니콜라 카티치,N. 카티치
271350,T. Muharemović,Tarik Muharemović,Defender,Bosnia and Herzegovina,타리크 무하레모비치,T. 무하레모비치
1442,S. Kolašinac,Sead Kolašinac,Defender,Bosnia and Herzegovina,세아드 콜라시나츠,S. 콜라시나츠
329409,E. Bajraktarević,Esmir Bajraktarević,Midfielder,Bosnia and Herzegovina,에스미르 바이락타레비치,E. 바이락타레비치
162222,I. Bašić,Ivan Bašić,Midfielder,Bosnia and Herzegovina,이반 바시치,I. 바시치
1324,I. Šunjić,Ivan Šunjić,Midfielder,Bosnia and Herzegovina,이반 슈니치,I. 슈니치
322101,A. Memić,Amar Memić,Midfielder,Bosnia and Herzegovina,아마르 메미치,A. 메미치
46930,E. Demirović,Ermedin Demirović,Attacker,Bosnia and Herzegovina,에르메딘 데미로비치,E. 데미로비치
790,E. Džeko,Edin Džeko,Attacker,Bosnia and Herzegovina,에딘 제코,E. 제코
108370,M. Zlomislić,Martin Zlomislić,Goalkeeper,Bosnia and Herzegovina,마르틴 즐로미슬리치,M. 즐로미슬리치
70480,O. Hadžikić,Osman Hadžikić,Goalkeeper,Bosnia and Herzegovina,오스만 하지키치,O. 하지키치
395589,N. Čelik,Nidal Čelik,Defender,Bosnia and Herzegovina,니달 첼리크,N. 첼리크
395559,K. Alajbegović,Kerim Alajbegović,Attacker,Bosnia and Herzegovina,케림 알라이베고비치,K. 알라이베고비치
28382,H. Tabaković,Haris Tabaković,Attacker,Bosnia and Herzegovina,하리스 타바코비치,H. 타바코비치
50006,A. Hadžiahmetović,Amir Hadžiahmetović,Midfielder,Bosnia and Herzegovina,아미르 하지아흐메토비치,A. 하지아흐메토비치
25129,Dž. Burnić,Dženis Burnić,Midfielder,Bosnia and Herzegovina,제니스 부르니치,Dž. 부르니치
14301,S. Radeljić,Stjepan Radeljić,Defender,Bosnia and Herzegovina,스테판 라델리치,S. 라델리치
76867,N. Mujakić,Nihad Mujakić,Defender,Bosnia and Herzegovina,니하드 무야키치,N. 무야키치
70514,A. Gigović,Armin Gigović,Midfielder,Bosnia and Herzegovina,아르민 기고비치,A. 기고비치
264094,B. Tahirović,Benjamin Tahirović,Midfielder,Bosnia and Herzegovina,베냐민 타히로비치,B. 타히로비치
314377,S. Baždar,Samed Baždar,Attacker,Bosnia and Herzegovina,사메드 바주다르,S. 바주다르
1622,G. Donnarumma,Gianluigi Donnarumma,Goalkeeper,Italy,잔루이지 돈나룸마,G. 돈나룸마
